Compressor_Level:0 Granularity:64  Compression_Ratio:0.92754
Compressor_Level:1 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:2 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:3 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:4 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:5 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:6 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:7 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:8 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:9 Granularity:64  Compression_Ratio:21.33247
Compressor_Level:0 Granularity:128  Compression_Ratio:0.96241
Compressor_Level:1 Granularity:128  Compression_Ratio:31.99652
Compressor_Level:2 Granularity:128  Compression_Ratio:31.99652
Compressor_Level:3 Granularity:128  Compression_Ratio:31.99652
Compressor_Level:4 Granularity:128  Compression_Ratio:31.99683
Compressor_Level:5 Granularity:128  Compression_Ratio:31.99683
Compressor_Level:6 Granularity:128  Compression_Ratio:31.99683
Compressor_Level:7 Granularity:128  Compression_Ratio:31.99683
Compressor_Level:8 Granularity:128  Compression_Ratio:31.99683
Compressor_Level:9 Granularity:128  Compression_Ratio:31.99683
Compressor_Level:0 Granularity:192  Compression_Ratio:0.97462
Compressor_Level:1 Granularity:192  Compression_Ratio:47.98847
Compressor_Level:2 Granularity:192  Compression_Ratio:47.98893
Compressor_Level:3 Granularity:192  Compression_Ratio:47.98893
Compressor_Level:4 Granularity:192  Compression_Ratio:47.99009
Compressor_Level:5 Granularity:192  Compression_Ratio:47.99009
Compressor_Level:6 Granularity:192  Compression_Ratio:47.99009
Compressor_Level:7 Granularity:192  Compression_Ratio:47.99009
Compressor_Level:8 Granularity:192  Compression_Ratio:47.99009
Compressor_Level:9 Granularity:192  Compression_Ratio:47.99009
Compressor_Level:0 Granularity:256  Compression_Ratio:0.98084
Compressor_Level:1 Granularity:256  Compression_Ratio:63.97046
Compressor_Level:2 Granularity:256  Compression_Ratio:63.97169
Compressor_Level:3 Granularity:256  Compression_Ratio:63.97210
Compressor_Level:4 Granularity:256  Compression_Ratio:63.97498
Compressor_Level:5 Granularity:256  Compression_Ratio:63.97498
Compressor_Level:6 Granularity:256  Compression_Ratio:63.97498
Compressor_Level:7 Granularity:256  Compression_Ratio:63.97498
Compressor_Level:8 Granularity:256  Compression_Ratio:63.97498
Compressor_Level:9 Granularity:256  Compression_Ratio:63.97498
Compressor_Level:0 Granularity:320  Compression_Ratio:0.98461
Compressor_Level:1 Granularity:320  Compression_Ratio:53.30769
Compressor_Level:2 Granularity:320  Compression_Ratio:53.30855
Compressor_Level:3 Granularity:320  Compression_Ratio:53.30912
Compressor_Level:4 Granularity:320  Compression_Ratio:53.31311
Compressor_Level:5 Granularity:320  Compression_Ratio:53.31311
Compressor_Level:6 Granularity:320  Compression_Ratio:53.31311
Compressor_Level:7 Granularity:320  Compression_Ratio:53.31339
Compressor_Level:8 Granularity:320  Compression_Ratio:53.31339
Compressor_Level:9 Granularity:320  Compression_Ratio:53.31368
Compressor_Level:0 Granularity:384  Compression_Ratio:0.98715
Compressor_Level:1 Granularity:384  Compression_Ratio:54.82700
Compressor_Level:2 Granularity:384  Compression_Ratio:54.82851
Compressor_Level:3 Granularity:384  Compression_Ratio:54.82911
Compressor_Level:4 Granularity:384  Compression_Ratio:54.83213
Compressor_Level:5 Granularity:384  Compression_Ratio:54.83213
Compressor_Level:6 Granularity:384  Compression_Ratio:54.83273
Compressor_Level:7 Granularity:384  Compression_Ratio:54.83273
Compressor_Level:8 Granularity:384  Compression_Ratio:54.83273
Compressor_Level:9 Granularity:384  Compression_Ratio:54.83273
Compressor_Level:0 Granularity:448  Compression_Ratio:0.98896
Compressor_Level:1 Granularity:448  Compression_Ratio:63.95815
Compressor_Level:2 Granularity:448  Compression_Ratio:63.96020
Compressor_Level:3 Granularity:448  Compression_Ratio:63.96102
Compressor_Level:4 Granularity:448  Compression_Ratio:63.96513
Compressor_Level:5 Granularity:448  Compression_Ratio:63.96513
Compressor_Level:6 Granularity:448  Compression_Ratio:63.96677
Compressor_Level:7 Granularity:448  Compression_Ratio:63.96636
Compressor_Level:8 Granularity:448  Compression_Ratio:63.96636
Compressor_Level:9 Granularity:448  Compression_Ratio:63.96636
Compressor_Level:0 Granularity:512  Compression_Ratio:0.99033
Compressor_Level:1 Granularity:512  Compression_Ratio:73.07869
Compressor_Level:2 Granularity:512  Compression_Ratio:73.08244
Compressor_Level:3 Granularity:512  Compression_Ratio:73.08351
Compressor_Level:4 Granularity:512  Compression_Ratio:73.08940
Compressor_Level:5 Granularity:512  Compression_Ratio:73.08994
Compressor_Level:6 Granularity:512  Compression_Ratio:73.09101
Compressor_Level:7 Granularity:512  Compression_Ratio:73.09101
Compressor_Level:8 Granularity:512  Compression_Ratio:73.09101
Compressor_Level:9 Granularity:512  Compression_Ratio:73.09101
Compressor_Level:0 Granularity:576  Compression_Ratio:0.99139
Compressor_Level:1 Granularity:576  Compression_Ratio:63.94872
Compressor_Level:2 Granularity:576  Compression_Ratio:63.95159
